,Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
0,,Afghanistan,33.0,65.0,2020-01-22,0,0,0
1,,Albania,41.1533,20.1683,2020-01-22,0,0,0
2,,Algeria,28.0339,1.6596,2020-01-22,0,0,0
3,,Andorra,42.5063,1.5218,2020-01-22,0,0,0
4,,Angola,-11.2027,17.8739,2020-01-22,0,0,0
5,,Antigua and Barbuda,17.0608,-61.7964,2020-01-22,0,0,0
6,,Argentina,-38.4161,-63.6167,2020-01-22,0,0,0
7,,Armenia,40.0691,45.0382,2020-01-22,0,0,0
8,Australian Capital Territory,Australia,-35.4735,149.0124,2020-01-22,0,0,0
9,New South Wales,Australia,-33.8688,151.2093,2020-01-22,0,0,0
10,Northern Territory,Australia,-12.4634,130.8456,2020-01-22,0,0,0
11,Queensland,Australia,-28.0167,153.4,2020-01-22,0,0,0
12,South Australia,Australia,-34.9285,138.6007,2020-01-22,0,0,0
13,Tasmania,Australia,-41.4545,145.9707,2020-01-22,0,0,0
14,Victoria,Australia,-37.8136,144.9631,2020-01-22,0,0,0
15,Western Australia,Australia,-31.9505,115.8605,2020-01-22,0,0,0
16,,Austria,47.5162,14.5501,2020-01-22,0,0,0
17,,Azerbaijan,40.1431,47.5769,2020-01-22,0,0,0
18,,Bahamas,25.0343,-77.3963,2020-01-22,0,0,0
19,,Bahrain,26.0275,50.55,2020-01-22,0,0,0
20,,Bangladesh,23.685,90.3563,2020-01-22,0,0,0
21,,Barbados,13.1939,-59.5432,2020-01-22,0,0,0
22,,Belarus,53.7098,27.9534,2020-01-22,0,0,0
23,,Belgium,50.8333,4.0,2020-01-22,0,0,0
24,,Benin,9.3077,2.3158,2020-01-22,0,0,0
25,,Bhutan,27.5142,90.4336,2020-01-22,0,0,0
26,,Bolivia,-16.2902,-63.5887,2020-01-22,0,0,0
27,,Bosnia and Herzegovina,43.9159,17.6791,2020-01-22,0,0,0
28,,Brazil,-14.235,-51.9253,2020-01-22,0,0,0
29,,Brunei,4.5353,114.7277,2020-01-22,0,0,0
30,,Bulgaria,42.7339,25.4858,2020-01-22,0,0,0
31,,Burkina Faso,12.2383,-1.5616,2020-01-22,0,0,0
32,,Cabo Verde,16.5388,-23.0418,2020-01-22,0,0,0
33,,Cambodia,11.55,104.9167,2020-01-22,0,0,0
34,,Cameroon,3.8480000000000003,11.5021,2020-01-22,0,0,0
35,Alberta,Canada,53.9333,-116.5765,2020-01-22,0,0,0
36,British Columbia,Canada,49.2827,-123.1207,2020-01-22,0,0,0
37,Grand Princess,Canada,37.6489,-122.6655,2020-01-22,0,0,0
38,Manitoba,Canada,53.7609,-98.8139,2020-01-22,0,0,0
39,New Brunswick,Canada,46.5653,-66.4619,2020-01-22,0,0,0
40,Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-01-22,0,0,0
41,Nova Scotia,Canada,44.681999999999995,-63.7443,2020-01-22,0,0,0
42,Ontario,Canada,51.2538,-85.3232,2020-01-22,0,0,0
43,Prince Edward Island,Canada,46.5107,-63.4168,2020-01-22,0,0,0
44,Quebec,Canada,52.9399,-73.5491,2020-01-22,0,0,0
45,Saskatchewan,Canada,52.9399,-106.4509,2020-01-22,0,0,0
46,,Central African Republic,6.6111,20.9394,2020-01-22,0,0,0
47,,Chad,15.4542,18.7322,2020-01-22,0,0,0
48,,Chile,-35.6751,-71.543,2020-01-22,0,0,0
49,Anhui,China,31.8257,117.2264,2020-01-22,1,0,0
50,Beijing,China,40.1824,116.4142,2020-01-22,14,0,0
51,Chongqing,China,30.0572,107.874,2020-01-22,6,0,0
52,Fujian,China,26.0789,117.9874,2020-01-22,1,0,0
53,Gansu,China,37.8099,101.0583,2020-01-22,0,0,0
54,Guangdong,China,23.3417,113.4244,2020-01-22,26,0,0
55,Guangxi,China,23.8298,108.7881,2020-01-22,2,0,0
56,Guizhou,China,26.8154,106.8748,2020-01-22,1,0,0
57,Hainan,China,19.1959,109.7453,2020-01-22,4,0,0
58,Hebei,China,39.549,116.1306,2020-01-22,1,0,0
59,Heilongjiang,China,47.861999999999995,127.7615,2020-01-22,0,0,0
60,Henan,China,33.882,113.61399999999999,2020-01-22,5,0,0
61,Hong Kong,China,22.3,114.2,2020-01-22,0,0,0
62,Hubei,China,30.9756,112.2707,2020-01-22,444,17,28
63,Hunan,China,27.6104,111.7088,2020-01-22,4,0,0
64,Inner Mongolia,China,44.0935,113.9448,2020-01-22,0,0,0
65,Jiangsu,China,32.9711,119.455,2020-01-22,1,0,0
66,Jiangxi,China,27.614,115.7221,2020-01-22,2,0,0
67,Jilin,China,43.6661,126.1923,2020-01-22,0,0,0
68,Liaoning,China,41.2956,122.6085,2020-01-22,2,0,0
69,Macau,China,22.1667,113.55,2020-01-22,1,0,0
70,Ningxia,China,37.2692,106.1655,2020-01-22,1,0,0
71,Qinghai,China,35.7452,95.9956,2020-01-22,0,0,0
72,Shaanxi,China,35.1917,108.8701,2020-01-22,0,0,0
73,Shandong,China,36.3427,118.1498,2020-01-22,2,0,0
74,Shanghai,China,31.201999999999998,121.4491,2020-01-22,9,0,0
75,Shanxi,China,37.5777,112.2922,2020-01-22,1,0,0
76,Sichuan,China,30.6171,102.7103,2020-01-22,5,0,0
77,Tianjin,China,39.3054,117.323,2020-01-22,4,0,0
78,Tibet,China,31.6927,88.0924,2020-01-22,0,0,0
79,Xinjiang,China,41.1129,85.2401,2020-01-22,0,0,0
80,Yunnan,China,24.974,101.48700000000001,2020-01-22,1,0,0
81,Zhejiang,China,29.1832,120.0934,2020-01-22,10,0,0
82,,Colombia,4.5709,-74.2973,2020-01-22,0,0,0
83,,Congo (Brazzaville),-4.0383,21.7587,2020-01-22,0,0,0
84,,Congo (Kinshasa),-4.0383,21.7587,2020-01-22,0,0,0
85,,Costa Rica,9.7489,-83.7534,2020-01-22,0,0,0
86,,Cote d'Ivoire,7.54,-5.5471,2020-01-22,0,0,0
87,,Croatia,45.1,15.2,2020-01-22,0,0,0
88,,Diamond Princess,0.0,0.0,2020-01-22,0,0,0
89,,Cuba,22.0,-80.0,2020-01-22,0,0,0
90,,Cyprus,35.1264,33.4299,2020-01-22,0,0,0
91,,Czechia,49.8175,15.472999999999999,2020-01-22,0,0,0
92,Faroe Islands,Denmark,61.8926,-6.9118,2020-01-22,0,0,0
93,Greenland,Denmark,71.7069,-42.6043,2020-01-22,0,0,0
94,,Denmark,56.2639,9.5018,2020-01-22,0,0,0
95,,Djibouti,11.8251,42.5903,2020-01-22,0,0,0
96,,Dominican Republic,18.7357,-70.1627,2020-01-22,0,0,0
97,,Ecuador,-1.8312,-78.1834,2020-01-22,0,0,0
98,,Egypt,26.0,30.0,2020-01-22,0,0,0
99,,El Salvador,13.7942,-88.8965,2020-01-22,0,0,0
100,,Equatorial Guinea,1.5,10.0,2020-01-22,0,0,0
101,,Eritrea,15.1794,39.7823,2020-01-22,0,0,0
102,,Estonia,58.5953,25.0136,2020-01-22,0,0,0
103,,Eswatini,-26.5225,31.4659,2020-01-22,0,0,0
104,,Ethiopia,9.145,40.4897,2020-01-22,0,0,0
105,,Fiji,-17.7134,178.065,2020-01-22,0,0,0
106,,Finland,64.0,26.0,2020-01-22,0,0,0
107,French Guiana,France,3.9339,-53.1258,2020-01-22,0,0,0
108,French Polynesia,France,-17.6797,149.4068,2020-01-22,0,0,0
109,Guadeloupe,France,16.25,-61.5833,2020-01-22,0,0,0
110,Mayotte,France,-12.8275,45.1662,2020-01-22,0,0,0
111,New Caledonia,France,-20.9043,165.618,2020-01-22,0,0,0
112,Reunion,France,-21.1351,55.2471,2020-01-22,0,0,0
113,Saint Barthelemy,France,17.9,-62.8333,2020-01-22,0,0,0
114,St Martin,France,18.0708,-63.0501,2020-01-22,0,0,0
115,Martinique,France,14.6415,-61.0242,2020-01-22,0,0,0
116,,France,46.2276,2.2137,2020-01-22,0,0,0
117,,Gabon,-0.8037,11.6094,2020-01-22,0,0,0
118,,Gambia,13.4432,-15.3101,2020-01-22,0,0,0
119,,Georgia,42.3154,43.3569,2020-01-22,0,0,0
120,,Germany,51.0,9.0,2020-01-22,0,0,0
121,,Ghana,7.9465,-1.0232,2020-01-22,0,0,0
122,,Greece,39.0742,21.8243,2020-01-22,0,0,0
123,,Guatemala,15.7835,-90.2308,2020-01-22,0,0,0
124,,Guinea,9.9456,-9.6966,2020-01-22,0,0,0
125,,Guyana,5.0,-58.75,2020-01-22,0,0,0
126,,Haiti,18.9712,-72.2852,2020-01-22,0,0,0
127,,Holy See,41.9029,12.4534,2020-01-22,0,0,0
128,,Honduras,15.2,-86.2419,2020-01-22,0,0,0
129,,Hungary,47.1625,19.5033,2020-01-22,0,0,0
130,,Iceland,64.9631,-19.0208,2020-01-22,0,0,0
131,,India,21.0,78.0,2020-01-22,0,0,0
132,,Indonesia,-0.7893,113.9213,2020-01-22,0,0,0
133,,Iran,32.0,53.0,2020-01-22,0,0,0
134,,Iraq,33.0,44.0,2020-01-22,0,0,0
135,,Ireland,53.1424,-7.6921,2020-01-22,0,0,0
136,,Israel,31.0,35.0,2020-01-22,0,0,0
137,,Italy,43.0,12.0,2020-01-22,0,0,0
138,,Jamaica,18.1096,-77.2975,2020-01-22,0,0,0
139,,Japan,36.0,138.0,2020-01-22,2,0,0
140,,Jordan,31.24,36.51,2020-01-22,0,0,0
141,,Kazakhstan,48.0196,66.9237,2020-01-22,0,0,0
142,,Kenya,-0.0236,37.9062,2020-01-22,0,0,0
143,,South Korea,36.0,128.0,2020-01-22,1,0,0
144,,Kuwait,29.5,47.75,2020-01-22,0,0,0
145,,Kyrgyzstan,41.2044,74.7661,2020-01-22,0,0,0
146,,Latvia,56.8796,24.6032,2020-01-22,0,0,0
147,,Lebanon,33.8547,35.8623,2020-01-22,0,0,0
148,,Liberia,6.4281,-9.4295,2020-01-22,0,0,0
149,,Liechtenstein,47.14,9.55,2020-01-22,0,0,0
150,,Lithuania,55.1694,23.8813,2020-01-22,0,0,0
151,,Luxembourg,49.8153,6.1296,2020-01-22,0,0,0
152,,Madagascar,-18.7669,46.8691,2020-01-22,0,0,0
153,,Malaysia,2.5,112.5,2020-01-22,0,0,0
154,,Maldives,3.2028,73.2207,2020-01-22,0,0,0
155,,Malta,35.9375,14.3754,2020-01-22,0,0,0
156,,Mauritania,21.0079,10.9408,2020-01-22,0,0,0
157,,Mauritius,-20.2,57.5,2020-01-22,0,0,0
158,,Mexico,23.6345,-102.5528,2020-01-22,0,0,0
159,,Moldova,47.4116,28.3699,2020-01-22,0,0,0
160,,Monaco,43.7333,7.4167,2020-01-22,0,0,0
161,,Mongolia,46.8625,103.8467,2020-01-22,0,0,0
162,,Montenegro,42.5,19.3,2020-01-22,0,0,0
163,,Morocco,31.7917,-7.0926,2020-01-22,0,0,0
164,,Namibia,-22.9576,18.4904,2020-01-22,0,0,0
165,,Nepal,28.1667,84.25,2020-01-22,0,0,0
166,Aruba,Netherlands,12.5186,-70.0358,2020-01-22,0,0,0
167,Curacao,Netherlands,12.1696,-68.99,2020-01-22,0,0,0
168,Sint Maarten,Netherlands,18.0425,-63.0548,2020-01-22,0,0,0
169,,Netherlands,52.1326,5.2913,2020-01-22,0,0,0
170,,New Zealand,-40.9006,174.886,2020-01-22,0,0,0
171,,Nicaragua,12.8654,-85.2072,2020-01-22,0,0,0
172,,Niger,17.6078,8.0817,2020-01-22,0,0,0
173,,Nigeria,9.082,8.6753,2020-01-22,0,0,0
174,,North Macedonia,41.6086,21.7453,2020-01-22,0,0,0
175,,Norway,60.472,8.4689,2020-01-22,0,0,0
176,,Oman,21.0,57.0,2020-01-22,0,0,0
177,,Pakistan,30.3753,69.3451,2020-01-22,0,0,0
178,,Panama,8.538,-80.7821,2020-01-22,0,0,0
179,,Papua New Guinea,-6.315,143.9555,2020-01-22,0,0,0
180,,Paraguay,-23.4425,-58.4438,2020-01-22,0,0,0
181,,Peru,-9.19,-75.0152,2020-01-22,0,0,0
182,,Philippines,13.0,122.0,2020-01-22,0,0,0
